# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761661	0.6578341	0.33174357	-0.24360806	-0.23700345	-0.11952004
2.047e-12	0.68551165	0.64889956	0.3301562	-0.24697506	-0.2337845	-0.11894816
4.095e-12	0.7037129	0.6307641	0.32699355	-0.25353256	-0.22725071	-0.11780872
8.191e-12	0.7381558	0.5935208	0.32071662	-0.26594162	-0.21383275	-0.11554727
1.6383e-11	0.7992516	0.5158603	0.3083586	-0.2879531	-0.18585333	-0.11109495
3.2767e-11	0.89132226	0.35304022	0.28444222	-0.32112414	-0.12719277	-0.102478385
5.6476557305142125e-11	0.9607448	0.11656106	0.25175995	-0.34613565	-0.04199443	-0.09070367
8.219823330711442e-11	0.96834683	-0.11994287	0.21890217	-0.34887448	0.04321283	-0.07886572
1.1051009562205113e-10	0.9216902	-0.34052944	0.18581402	-0.3320651	0.12268542	-0.06694478
1.420823480487263e-10	0.8327608	-0.5321961	0.1525674	-0.30002576	0.19173875	-0.05496674
1.7788616323098704e-10	0.7170586	-0.68674153	0.1192189	-0.25834075	0.24741817	-0.042951994
2.1925982837792104e-10	0.59296304	-0.8006338	0.085909255	-0.21363178	0.28845108	-0.03095125
2.6805589836997586e-10	0.48157698	-0.8748038	0.052934125	-0.17350179	0.3151729	-0.019071024
3.264115527026126e-10	0.40728843	-0.91305727	0.021040658	-0.14673723	0.32895485	-0.0075804945
3.950097281702525e-10	0.39501303	-0.9186405	-0.008017945	-0.14231467	0.33096635	0.0028886925
4.698074984515159e-10	0.45365533	-0.8906125	-0.031723436	-0.16344222	0.32086843	0.011429269
5.45083722030792e-10	0.5631819	-0.82486033	-0.049311467	-0.20290229	0.29717937	0.017765857
6.206996124795633e-10	0.69770575	-0.713669	-0.062317006	-0.2513683	0.25711954	0.022451473
6.999478952991365e-10	0.83611953	-0.54376465	-0.072278515	-0.3012358	0.19590668	0.02604039
7.90422902878229e-10	0.9544703	-0.28727898	-0.080356844	-0.34387505	0.103500426	0.028950837
7.90422902878229e-10	0.9544703	-0.28727898	-0.080356844	-0.34387505	0.103500426	0.028950837
8.710695303983248e-10	0.99618447	-0.017750101	-0.085448444	-0.3589038	0.0063949786	0.030785229
9.527733253520595e-10	0.9586489	0.27026188	-0.089167684	-0.34538049	-0.09736952	0.03212519
1.0268723803575096e-09	0.84929466	0.51990616	-0.09163079	-0.30598253	-0.18731096	0.033012595
1.097267800724915e-09	0.68209606	0.725276	-0.0933803	-0.2457445	-0.2613013	0.03364291
1.1655348381566028e-09	0.470159	0.8774904	-0.094663516	-0.16938815	-0.31614083	0.034105223
1.2322941355528036e-09	0.22869848	0.96878994	-0.09562007	-0.08239512	-0.34903413	0.03444985
1.2981347764498818e-09	-0.026749736	0.99498874	-0.09634284	0.009637353	-0.358473	0.034710243
1.3633088473845173e-09	-0.27948007	0.95525014	-0.09689282	0.10069064	-0.34415603	0.03490839
1.427944664967184e-09	-0.51298743	0.85286236	-0.09731305	0.18481833	-0.3072679	0.035059787
1.4922200724387985e-09	-0.7124905	0.69485575	-0.09763577	0.25669497	-0.25034153	0.03517606
1.5561768497150838e-09	-0.8651363	0.49189213	-0.09788386	0.31168997	-0.17721812	0.03526544
1.619944188627899e-09	-0.9613965	0.25709558	-0.09807531	0.34637043	-0.09262599	0.035334416
1.6835744791617996e-09	-0.99514806	0.005706034	-0.098223284	0.35853037	-0.002055761	0.035387732
1.7470578217839167e-09	-0.964319	-0.24580206	-0.09833773	0.34742334	0.08855718	0.035428964
1.8104428160469137e-09	-0.8710395	-0.48125106	-0.09842619	0.31381676	0.17338437	0.035460833
1.873754120985446e-09	-0.7214174	-0.68546015	-0.09849489	0.25991112	0.2469565	0.035485588
1.937029585167906e-09	-0.5251025	-0.84531397	-0.09854803	0.1891831	0.30454838	0.035504732
2.000208738612505e-09	-0.29505968	-0.9503789	-0.09858927	0.10630363	0.34240103	0.03551959
2.0633877459746632e-09	-0.045870084	-0.9940674	-0.098621294	0.016526002	0.35814103	0.03553112
2.126537756510818e-09	0.2062393	-0.97351646	-0.09864616	-0.07430357	0.35073698	0.03554008
2.18966834069466e-09	0.44500268	-0.8900775	-0.09866536	-0.16032487	0.32067567	0.035547
2.2528062361457867e-09	0.6550736	-0.7490934	-0.09868046	-0.23600888	0.2698822	0.03555244
2.315907896695915e-09	0.82274026	-0.55978435	-0.09869205	-0.29641557	0.20167822	0.035556614
2.3789935585713784e-09	0.93726224	-0.3343616	-0.098701075	-0.33767533	0.12046327	0.03555987
2.4420689923883784e-09	0.9912733	-0.08737378	-0.09870801	-0.3571344	0.03147889	0.035562366
2.5051529140939196e-09	0.98129034	0.16530268	-0.09871338	-0.35353774	-0.059554987	0.035564303
2.568210186814669e-09	0.9079805	0.40721795	-0.09871757	-0.3271258	-0.14671186	0.03556581
2.631296062633181e-09	0.7760045	0.6229538	-0.09872086	-0.27957767	-0.22443679	0.035566997
2.6943277791006183e-09	0.5940757	0.7983281	-0.09872339	-0.21403265	-0.28762043	0.035567906
