# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
5.336797160382256e-09	0.8120593	-0.58349144	-0.009873135	-0.29256743	0.21021938	0.0035570776
5.647727523411617e-09	0.8787614	-0.47715932	-0.009873281	-0.31659877	0.1719102	0.0035571302
5.933137540430083e-09	0.927823	-0.3728901	-0.009873148	-0.3342746	0.13434426	0.0035570825
6.222539878075966e-09	0.964987	-0.26211226	-0.009873362	-0.347664	0.09443339	0.003557159
6.533199251577135e-09	0.99020684	-0.1392585	-0.00987343	-0.35675013	0.050171833	0.0035571838
6.827114957594945e-09	0.9997313	-0.02097599	-0.009873414	-0.36018163	0.0075571965	0.0035571782
7.124121479043251e-09	0.99505395	0.09884466	-0.0098733725	-0.3584965	-0.0356116	0.003557163
7.423946411456113e-09	0.97581935	0.21835563	-0.009873336	-0.35156667	-0.07866882	0.00355715
7.733418273568198e-09	0.94097406	0.33833495	-0.009872939	-0.33901265	-0.121894784	0.0035570073
8.035755289872856e-09	0.89274263	0.45045868	-0.009873006	-0.32163593	-0.16229054	0.0035570308
8.34188845584054e-09	0.8303553	0.55714685	-0.009873386	-0.2991591	-0.200728	0.0035571675
8.63653722640858e-09	0.75831234	0.6518167	-0.00987401	-0.27320358	-0.2348355	0.0035573929
8.927388792907845e-09	0.6766652	0.7362247	-0.009874089	-0.24378787	-0.26524585	0.0035574208
9.224105180604877e-09	0.58376366	0.8118636	-0.009873732	-0.21031746	-0.29249692	0.0035572925
9.52082526044917e-09	0.48248687	0.87584764	-0.009873814	-0.17382962	-0.31554902	0.003557322
9.816055142842122e-09	0.37483802	0.9270378	-0.0098738605	-0.13504605	-0.3339917	0.0035573388
1.0142330498907932e-08	0.24974379	0.9682617	-0.009873084	-0.0899773	-0.3488438	0.003557059
1.0439170883708074e-08	0.13211405	0.9911853	-0.009873387	-0.04759784	-0.3571027	0.0035571684
1.0728240448315715e-08	0.015723554	0.9998277	-0.009873357	-0.005664857	-0.36021635	0.0035571575
1.1025105425242065e-08	-0.10401383	0.99452686	-0.009873444	0.03747394	-0.3583066	0.003557189
1.1325032646760033e-08	-0.22346178	0.9746627	-0.009873202	0.080508456	-0.35114995	0.0035571014
1.161866105515401e-08	-0.33723906	0.9413674	-0.009873027	0.121499956	-0.33915436	0.0035570385
1.1931686536758346e-08	-0.45327288	0.8913171	-0.009874107	0.16330445	-0.32112235	0.0035574278
1.221297358285508e-08	-0.55142576	0.8341656	-0.009873884	0.19866678	-0.30053186	0.0035573472
1.2539813977144426e-08	-0.6564528	0.7543025	-0.009872892	0.23650578	-0.2717589	0.00355699
1.2842578167147988e-08	-0.74357986	0.6685742	-0.009873634	0.2678958	-0.24087286	0.0035572576
1.3130821356880934e-08	-0.81622547	0.5776492	-0.009872983	0.29406843	-0.20811453	0.0035570227
1.3440764582105424e-08	-0.88197446	0.47119385	-0.009873558	0.31775635	-0.16976097	0.0035572299
1.372208898334857e-08	-0.92972386	0.36812508	-0.009874029	0.33495945	-0.13262752	0.0035573996
1.4049117297466915e-08	-0.970116	0.24244066	-0.00987309	0.3495119	-0.08734614	0.0035570615
1.4336999874174736e-08	-0.99169517	0.12823193	-0.009872971	0.35728636	-0.0461992	0.0035570185
1.4640363360304551e-08	-0.999933	0.006037605	-0.00987326	0.36025432	-0.002175219	0.0035571225
1.4940659390203682e-08	-0.9933143	-0.11501856	-0.009873315	0.35786968	0.041438706	0.0035571423
1.523872478048235e-08	-0.9723048	-0.23350799	-0.009873147	0.35030043	0.0841279	0.0035570823
1.5532074128080653e-08	-0.937875	-0.34683314	-0.009873874	0.3378961	0.1249565	0.0035573437
1.585167696519432e-08	-0.8854103	-0.46470565	-0.009873229	0.31899422	0.16742343	0.0035571116
1.6138076699091e-08	-0.82584363	-0.56381285	-0.00987269	0.29753363	0.20312959	0.003556917
1.6452911389892826e-08	-0.7476547	-0.66401434	-0.0098738605	0.26936382	0.23923004	0.0035573388
1.67659575889966e-08	-0.657931	-0.7530136	-0.009873334	0.23703836	0.27129453	0.0035571496
1.7047160693772753e-08	-0.5683275	-0.8227432	-0.0098731425	0.20475611	0.29641664	0.00355708
1.73646163280454e-08	-0.45843375	-0.88867384	-0.00987322	0.16516379	0.32017	0.003557108
1.7677979084494234e-08	-0.34256253	-0.9394432	-0.009873666	0.123417884	0.3384611	0.003557269
1.7973968118420413e-08	-0.22804324	-0.9736009	-0.009873634	0.08215906	0.35076743	0.0035572576
1.8267976589502404e-08	-0.11106232	-0.99376446	-0.009873513	0.040013358	0.35803187	0.0035572136
1.8577510836377715e-08	0.013753118	-0.99985677	-0.009873464	-0.004954952	0.36022684	0.0035571961
1.8880480419858282e-08	0.13572638	-0.9906972	-0.009873453	-0.048899285	0.3569268	0.003557192
1.9180376945752835e-08	0.25446588	-0.96703136	-0.009872888	-0.09167857	0.34840053	0.0035569887
1.947702483675878e-08	0.3682546	-0.9296726	-0.009873354	-0.13267419	0.33494097	0.0035571563
1.9786145557840642e-08	0.48118278	-0.8765648	-0.009872463	-0.17335975	0.3158074	0.003556835
2.0075396600990006e-08	0.5800964	-0.81448805	-0.009873117	-0.2089962	0.2934425	0.003557071
2.038208971538178e-08	0.6763063	-0.73655444	-0.009872934	-0.24365857	0.26536465	0.003557005
2.069113758340689e-08	0.76276064	-0.64660555	-0.009872781	-0.2748062	0.23295802	0.00355695
2.0971744598536137e-08	0.8310072	-0.55617404	-0.00987341	-0.29939398	0.2003775	0.0035571766
2.1258635038010023e-08	0.8897509	-0.45633963	-0.009873199	-0.32055807	0.16440932	0.0035571004
2.1593054757636604e-08	0.94310874	-0.3323378	-0.009873528	-0.33978176	0.11973414	0.0035572194
2.1886565840502114e-08	0.97580165	-0.218435	-0.009873104	-0.3515603	0.07869742	0.0035570664
2.217801053853747e-08	0.994705	-0.10229614	-0.009873311	-0.35837078	0.03685509	0.003557141
2.2471831688903635e-08	0.9998197	0.016220365	-0.009873351	-0.36021346	-0.005843848	0.0035571554
2.2774195398437627e-08	0.9903932	0.13792738	-0.009873546	-0.3568173	-0.04969226	0.0035572252
2.3073427738251584e-08	0.96653175	0.25635728	-0.009873434	-0.34822053	-0.09236	0.0035571852
2.3375276520873618e-08	0.928168	0.37203065	-0.009873992	-0.3343989	-0.13403462	0.0035573863
2.3686219600381974e-08	0.87424123	0.48539144	-0.009872686	-0.31497025	-0.17487606	0.003556916
2.399078469335999e-08	0.80805945	0.5890182	-0.009873399	-0.29112637	-0.21221054	0.0035571721
2.4300171641992043e-08	0.72832537	0.68516034	-0.009873081	-0.2623999	-0.24684846	0.003557058
2.459912040118008e-08	0.6404711	0.7679188	-0.0098734	-0.23074791	-0.2766646	0.0035571733
2.4933067946583152e-08	0.5313683	0.84708345	-0.009873541	-0.19144054	-0.3051859	0.0035572238
2.52137658487719e-08	0.43210346	0.90177006	-0.009873203	-0.15567756	-0.3248883	0.003557102
2.5490396723852862e-08	0.32883802	0.94433475	-0.009872778	-0.11847325	-0.34022343	0.003556949
2.5804241786447246e-08	0.20679209	0.9783352	-0.009872932	-0.07450272	-0.35247308	0.003557004
2.609450276924703e-08	0.09091426	0.99580985	-0.00987328	-0.03275445	-0.3587688	0.00355713
2.639235864922574e-08	-0.029281668	0.9995225	-0.009873323	0.010549553	-0.36010635	0.0035571451
2.6693019654588808e-08	-0.15017572	0.9886101	-0.009873454	0.054105073	-0.3561749	0.0035571926
2.6993942423551587e-08	-0.26895902	0.963101	-0.009873355	0.09690012	-0.3469845	0.0035571568
2.729049060270817e-08	-0.38213834	0.9240524	-0.009873014	0.13767621	-0.33291617	0.003557034
2.7595551461368305e-08	-0.49283412	0.8700673	-0.00987324	0.17755751	-0.3134665	0.0035571156
2.7910216355329285e-08	-0.5991663	0.8005638	-0.00987379	0.21586667	-0.2884259	0.0035573135
2.820640745829807e-08	-0.69044954	0.7233133	-0.009873095	0.24875408	-0.2605942	0.0035570632
2.8496801600948392e-08	-0.77036715	0.63752407	-0.0098738	0.27754667	-0.22968617	0.0035573172
2.8786169215022316e-08	-0.8394679	0.54331964	-0.009873066	0.30244216	-0.19574635	0.003557053
2.9069798238249626e-08	-0.89608455	0.44377366	-0.00987389	0.32283992	-0.15988207	0.0035573498
2.9398175140719935e-08	-0.94691026	0.32134643	-0.009873287	0.34115136	-0.115774184	0.003557132
2.9687644807108665e-08	-0.97793645	0.20866926	-0.009873404	0.3523294	-0.075179026	0.0035571745
2.9983287254012866e-08	-0.99583334	0.090655975	-0.009873396	0.35877728	-0.032661393	0.0035571712
3.028926112645736e-08	-0.9994126	-0.032819707	-0.009873448	0.3600668	0.011824232	0.0035571905
3.058782616678777e-08	-0.988202	-0.15283787	-0.009873354	0.35602784	0.055064186	0.0035571563
3.0886880841451535e-08	-0.9625776	-0.27082634	-0.0098737925	0.34679592	0.09757288	0.0035573144
3.1181167958421046e-08	-0.92365855	-0.38308945	-0.00987345	0.33277422	0.13801888	0.003557191
3.147788408589614e-08	-0.8712177	-0.49079752	-0.009873826	0.31388095	0.17682375	0.0035573265
3.1773632855145107e-08	-0.80650324	-0.59114724	-0.0098743765	0.29056573	0.21297759	0.0035575249
3.206348191405674e-08	-0.73190993	-0.68132985	-0.009873421	0.26369137	0.24546841	0.0035571805
3.238182944688174e-08	-0.638476	-0.7695785	-0.009874057	0.23002914	0.27726254	0.0035574096
3.270343985370017e-08	-0.53338104	-0.84581745	-0.009873743	0.19216567	0.30472976	0.0035572965
3.3003076589203006e-08	-0.42733586	-0.904039	-0.009873944	0.1539599	0.32570577	0.003557369
3.332780810602489e-08	-0.30539772	-0.95217377	-0.0098734405	0.11002821	0.34304768	0.0035571877
3.3631028901305075e-08	-0.18675898	-0.9823562	-0.009873683	0.06728523	0.35392174	0.0035572746
3.392499370674421e-08	-0.069050066	-0.9975644	-0.009873578	0.024877248	0.35940096	0.0035572373
3.4222956688356016e-08	0.05124428	-0.9986373	-0.009873502	-0.018462207	0.35978746	0.0035572094
3.45231663509925e-08	0.17168942	-0.9851017	-0.009873445	-0.061855994	0.35491085	0.0035571891
3.482256103667267e-08	0.28929642	-0.9571888	-0.009873197	-0.10422726	0.34485447	0.0035571002
3.511940557187608e-08	0.40173185	-0.91570413	-0.009872947	-0.1447353	0.32990843	0.0035570096
3.542159608856957e-08	0.51025325	-0.85996765	-0.009873181	-0.18383321	0.3098278	0.003557094
3.5718495942927696e-08	0.6094916	-0.79273117	-0.009873496	-0.21958667	0.28560394	0.0035572078
3.605206194464052e-08	0.7104685	-0.7036598	-0.009873107	-0.25596648	0.25351343	0.0035570674
3.6335976016675036e-08	0.78633183	-0.61772555	-0.009873183	-0.28329837	0.22255316	0.0035570948
3.664793982652024e-08	0.8577413	-0.5139869	-0.009873419	-0.30902568	0.18517837	0.0035571798
3.6937570423554046e-08	0.91188085	-0.41033635	-0.009873056	-0.32853103	0.14783533	0.0035570492
3.724976946544983e-08	0.95625377	-0.2923721	-0.009872982	-0.3445176	0.10533536	0.0035570224
3.755260392755434e-08	0.98478603	-0.17349084	-0.009873218	-0.35479718	0.06250501	0.0035571076
3.785226794789268e-08	0.9985302	-0.053292155	-0.009873389	-0.35974884	0.019200014	0.0035571693
3.8150687306061305e-08	0.9976916	0.067186534	-0.009873405	-0.35944676	-0.02420586	0.003557175
3.8452113913876445e-08	0.9821418	0.18788315	-0.009873292	-0.3538445	-0.06769025	0.0035571342
3.875088748288921e-08	0.9523726	0.30477697	-0.009873299	-0.3431193	-0.10980457	0.0035571367
3.906241999764755e-08	0.9065837	0.4219108	-0.009873091	-0.32662255	-0.15200534	0.003557062
3.935461145513184e-08	0.8505851	0.5257448	-0.009873957	-0.30644748	-0.1894145	0.0035573738
3.970673626452159e-08	0.76745397	0.64102805	-0.009873684	-0.2764971	-0.23094857	0.0035572753
4.0002436090632006e-08	0.685585	0.72792566	-0.009873603	-0.2470015	-0.2622559	0.003557246
4.030621373703833e-08	0.591316	0.80637956	-0.009873407	-0.21303838	-0.29052114	0.0035571754
4.0594297888893135e-08	0.4936789	0.86958826	-0.009872979	-0.17786185	-0.31329387	0.0035570213
4.088059798790056e-08	0.39003098	0.92074883	-0.009873169	-0.14051975	-0.33172596	0.0035570895
4.117533095556992e-08	0.27789572	0.96056056	-0.009873073	-0.10011983	-0.34606925	0.003557055
4.147271679683803e-08	0.16076782	0.98694295	-0.009873245	-0.057921175	-0.35557425	0.0035571172
4.1766457048002954e-08	0.042792656	0.99903524	-0.009873263	-0.01541727	-0.35993084	0.0035571237
4.2061741672993336e-08	-0.07640708	0.9970279	-0.009873406	0.027527824	-0.35920763	0.003557175
4.236111693187019e-08	-0.1961417	0.9805259	-0.00987338	0.07066563	-0.35326234	0.0035571659
4.266179371329662e-08	-0.31351045	0.94953346	-0.00987338	0.11295104	-0.3420964	0.0035571659
4.297220363731637e-08	-0.42981184	0.90286463	-0.009872926	0.15485193	-0.32528263	0.0035570022
4.327506307016104e-08	-0.53679	0.84365815	-0.009872862	0.19339387	-0.3039518	0.0035569794
4.358762087743605e-08	-0.6387604	0.7693425	-0.0098735215	0.23013157	-0.27717748	0.0035572168
4.3873383821627926e-08	-0.723128	0.69064355	-0.009872971	0.26052743	-0.24882397	0.0035570185
4.41713676841746e-08	-0.800834	0.5988052	-0.009872739	0.2885232	-0.2157366	0.003556935
4.4479219526637406e-08	-0.86893046	0.49483585	-0.009874277	0.31305692	-0.17827865	0.0035574888
4.481962402551034e-08	-0.9285649	0.37103888	-0.009873902	0.3345419	-0.1336773	0.003557354
4.5115542895399665e-08	-0.96619016	0.2576415	-0.009873555	0.34809744	-0.09282266	0.003557229
4.5428028440577316e-08	-0.99094045	0.13393843	-0.009873465	0.35701445	-0.04825513	0.0035571964
4.5740982421864766e-08	-0.99991995	0.007915332	-0.009873531	0.36024958	-0.0028517232	0.00355722
4.603895339500545e-08	-0.9936341	-0.11222197	-0.009873415	0.3579849	0.040431157	0.0035571787
4.633909477927469e-08	-0.972764	-0.23158748	-0.009873546	0.35046592	0.08343597	0.0035572252
4.663712308386197e-08	-0.93790543	-0.34675065	-0.009872572	0.33790708	0.124926776	0.003556874
4.695677216644207e-08	-0.8854452	-0.4646392	-0.00987328	0.3190068	0.16739947	0.00355713
4.724493923623434e-08	-0.825482	-0.56434214	-0.009873096	0.29740334	0.20332031	0.0035570632
4.755057534505886e-08	-0.74969375	-0.66171134	-0.009872604	0.27009848	0.23840033	0.0035568865
4.7839495557584304e-08	-0.6675345	-0.7445135	-0.0098726535	0.24049827	0.2682321	0.003556904
4.814032327698324e-08	-0.57235295	-0.819948	-0.009873166	0.20620643	0.29540956	0.0035570888
4.8490522455527126e-08	-0.45102057	-0.89245903	-0.009873179	0.16249296	0.32153374	0.0035570932
4.8790029186174806e-08	-0.34000313	-0.9403725	-0.009873049	0.12249579	0.3387959	0.0035570466
4.908023329084903e-08	-0.22767223	-0.9736879	-0.009873063	0.082025394	0.35079876	0.0035570515
4.9393809203117774e-08	-0.10283029	-0.99465	-0.009873394	0.037047535	0.35835093	0.003557171
4.96921015120217e-08	0.017490411	-0.99979836	-0.009873409	-0.006301418	0.36020577	0.003557176
4.999775153059448e-08	0.14050058	-0.99003136	-0.009873515	-0.05061932	0.35668695	0.003557214
5.0298728423489056e-08	0.25954956	-0.9656794	-0.009873473	-0.093510106	0.3479135	0.0035571994
5.060006253862518e-08	0.37489858	-0.92701334	-0.0098730875	-0.13506788	0.33398288	0.0035570604
5.090548499172874e-08	0.4861399	-0.87382525	-0.009873281	-0.17514573	0.3148204	0.0035571302
5.120781191813021e-08	0.58897865	-0.8080884	-0.009873242	-0.21219629	0.2911368	0.0035571163
5.151100557978687e-08	0.68330014	-0.7300708	-0.009874442	-0.2461783	0.26302877	0.0035575484
5.179701412897615e-08	0.76291746	-0.6464206	-0.0098736435	-0.2748627	0.2328914	0.0035572608
5.2098663383771223e-08	0.8358423	-0.548881	-0.009873695	-0.30113596	0.19774997	0.0035572792
5.2386866683303346e-08	0.8939461	-0.44806588	-0.009873332	-0.32206947	0.16142847	0.0035571489
5.266159259439479e-08	0.93807286	-0.3462975	-0.009872748	-0.33796743	0.12476352	0.003556938
5.29377669718846e-08	0.9707969	-0.23969972	-0.009873271	-0.3497572	0.08635865	0.0035571265
5.323553445447897e-08	0.9925467	-0.12146502	-0.009873439	-0.35759312	0.043761224	0.003557187
5.354051372934502e-08	0.99995023	0.0014388841	-0.009873451	-0.36026052	-0.0005183989	0.0035571912
5.383905107298287e-08	0.9925132	0.12173851	-0.009873222	-0.35758108	-0.043859757	0.0035571088
5.4138672547866986e-08	0.9705513	0.24069221	-0.009873309	-0.3496687	-0.086716205	0.0035571405
5.443274051561555e-08	0.93518287	0.35402772	-0.0098731555	-0.33692622	-0.12754855	0.0035570846
5.473414291210211e-08	0.8852566	0.46499825	-0.00987343	-0.31893885	-0.16752884	0.0035571838
5.5044363970193695e-08	0.82018864	0.57200813	-0.009873997	-0.29549628	-0.2060822	0.0035573882
5.5344625754542356e-08	0.74494207	0.6670562	-0.009873276	-0.26838654	-0.24032596	0.0035571284
5.5641677924464936e-08	0.6597265	0.75144094	-0.0098729525	-0.2376852	-0.27072796	0.0035570115
5.593613353944763e-08	0.56588745	0.82442343	-0.009873256	-0.20387703	-0.29702199	0.003557121
5.6227965974054045e-08	0.46498448	0.8852638	-0.009873996	-0.16752386	-0.3189414	0.0035573873
5.6519944538348864e-08	0.3575651	0.9338361	-0.009873546	-0.12882298	-0.33644098	0.0035572252
5.683956953465448e-08	0.23433979	0.97210467	-0.00987334	-0.08442757	-0.3502283	0.0035571514
5.7138972099392226e-08	0.115329	0.9932783	-0.009873659	-0.04155055	-0.35785675	0.0035572667
5.7452271014470493e-08	-0.010980253	0.99989104	-0.009873499	0.0039559486	-0.36023918	0.0035572085
5.7751889028843465e-08	-0.13163573	0.991249	-0.009873181	0.047425516	-0.35712564	0.003557094
5.804937422007854e-08	-0.24952969	0.9683169	-0.009873268	0.08990016	-0.34886372	0.0035571256
5.8353113197072644e-08	-0.3661767	0.93049306	-0.009873142	0.13192555	-0.33523655	0.00355708
5.865884546393555e-08	-0.4780245	0.87829095	-0.009873394	0.17222193	-0.31642932	0.003557171
5.8972080097997714e-08	-0.5850502	0.810937	-0.009874043	0.21078098	-0.29216307	0.0035574045
5.927901822215791e-08	-0.6808625	0.73234475	-0.009873375	0.24530007	-0.263848	0.0035571638
5.957777286116487e-08	-0.764087	0.6450376	-0.009873729	0.27528408	-0.23239313	0.0035572916
5.98823086225783e-08	-0.83747095	0.5463928	-0.009872981	0.30172276	-0.19685353	0.0035570222
6.018100908341968e-08	-0.8971531	0.4416095	-0.009872388	0.3232249	-0.15910238	0.0035568085
6.047272577330188e-08	-0.9428518	0.3330662	-0.009872635	0.33968917	-0.11999656	0.0035568974
6.076984607199046e-08	-0.9759496	0.21777305	-0.009872825	0.35161358	-0.078458935	0.0035569659
6.106441463741069e-08	-0.9949015	0.100367814	-0.009873033	0.35844153	-0.03616036	0.0035570408
6.137533011146089e-08	-0.9996372	-0.025060238	-0.009873325	0.3601477	0.009028663	0.003557146
6.167692466401173e-08	-0.98918045	-0.14637184	-0.009873333	0.35638037	0.05273462	0.0035571489
6.197694665658324e-08	-0.9642257	-0.26489887	-0.009873	0.3473897	0.09543735	0.003557029
6.227569594652918e-08	-0.9253182	-0.379063	-0.009873437	0.33337218	0.13656823	0.003557186
6.258166952656518e-08	-0.8715193	-0.4902619	-0.009873876	0.31398958	0.1766308	0.0035573444
6.289239347620981e-08	-0.80327785	-0.59552276	-0.009874141	0.28940368	0.21455401	0.00355744
6.318293543302412e-08	-0.72800463	-0.68550116	-0.009873496	0.26228434	0.2469713	0.0035572078
6.348008807606107e-08	-0.64067215	-0.7677511	-0.00987282	0.23082036	0.27660415	0.003556964
6.377291835565309e-08	-0.54558194	-0.83799934	-0.009872445	0.1965614	0.30191308	0.003556829
6.409138986018212e-08	-0.4335632	-0.9010692	-0.0098727215	0.15620345	0.3246358	0.0035569284
6.437986022719404e-08	-0.3258527	-0.94536906	-0.009873358	0.117397696	0.34059608	0.003557158
6.466912741688257e-08	-0.21340428	-0.9769141	-0.009872983	0.07688497	0.35196114	0.0035570227
6.496470391702988e-08	-0.0955104	-0.99537957	-0.009873217	0.034410335	0.3586138	0.0035571072
6.525583684215867e-08	0.02195149	-0.9997103	-0.009873301	-0.007908648	0.36017406	0.0035571372
6.555446242632898e-08	0.14210735	-0.9898021	-0.00987332	-0.051198207	0.35660437	0.0035571444
6.585261578604706e-08	0.26001605	-0.9655539	-0.009873827	-0.09367818	0.3478682	0.0035573267
6.616174397758553e-08	0.37826443	-0.92564493	-0.009873742	-0.13628052	0.3334899	0.003557296
6.644486469571766e-08	0.48144233	-0.87642217	-0.009873596	-0.17345327	0.315756	0.0035572434
6.674700351743883e-08	0.58457434	-0.8112802	-0.0098728575	-0.21060951	0.29228675	0.0035569775
6.706766617417186e-08	0.6844788	-0.728966	-0.009873268	-0.24660295	0.26263073	0.0035571256
6.737412535510495e-08	0.76926565	-0.6388529	-0.00987383	-0.2771498	0.23016492	0.0035573277
6.737412535510495e-08	0.76926565	-0.6388529	-0.00987383	-0.2771498	0.23016492	0.0035573277
6.766990604104433e-08	0.8399428	-0.5425852	-0.009874572	-0.3026133	0.19548175	0.0035575952
6.799081114611156e-08	0.90304565	-0.42943108	-0.009874216	-0.32534784	0.15471476	0.0035574671
6.82988102461078e-08	0.94936174	-0.31403002	-0.009873403	-0.34203455	0.11313824	0.0035571745
6.859550463278222e-08	0.9801007	-0.19825575	-0.009873135	-0.35310912	0.07142727	0.0035570776
6.889929989741574e-08	0.9969994	-0.076778166	-0.009873334	-0.35919738	0.027661517	0.0035571496
6.920209147731109e-08	0.99891776	0.045450933	-0.009873424	-0.35988852	-0.01637499	0.0035571817
6.950130492841419e-08	0.9861475	0.1655766	-0.009873639	-0.35528767	-0.059653677	0.0035572588
6.980330858121017e-08	0.9586651	0.28436586	-0.00987338	-0.34538636	-0.102450885	0.0035571659
7.009727572377353e-08	0.9182194	0.39594913	-0.009873515	-0.33081466	-0.14265193	0.003557214
7.040202530363588e-08	0.8626439	0.5057155	-0.009872845	-0.31079197	-0.18219838	0.003556973
7.069466433422668e-08	0.79697514	0.6039314	-0.009872672	-0.28713295	-0.21758348	0.0035569104
7.099756342387284e-08	0.7173001	0.69669443	-0.009873478	-0.25842774	-0.25100398	0.003557201
7.129432941026073e-08	0.6288217	0.777487	-0.009873806	-0.22655085	-0.2801118	0.0035573193
7.158730581146794e-08	0.5326091	0.8463038	-0.009873285	-0.19188756	-0.304905	0.0035571316
7.191023201414282e-08	0.41798815	0.90839887	-0.009873787	-0.15059212	-0.32727653	0.0035573123
7.219540486049566e-08	0.31078723	0.9504283	-0.009874089	-0.11196993	-0.3424188	0.0035574208
7.252954103137978e-08	0.18004799	0.98360825	-0.009873894	-0.06486741	-0.3543728	0.003557351
7.282548594092696e-08	0.06143775	0.99806213	-0.009873474	-0.022134695	-0.35958025	0.0035571998
7.312358064351217e-08	-0.058913566	0.9982143	-0.009873499	0.021225285	-0.35963508	0.0035572085
7.342376800102972e-08	-0.17924233	0.98375547	-0.009873227	0.06457714	-0.35442588	0.0035571107
7.372249616203774e-08	-0.2963747	0.95502067	-0.009873682	0.106777415	-0.34407336	0.0035572746
7.402242181501958e-08	-0.4096416	0.9121932	-0.009873896	0.14758503	-0.3286435	0.0035573517
7.43372556232003e-08	-0.5220459	0.8528604	-0.009873033	0.18808188	-0.3072672	0.0035570408
7.464387747161755e-08	-0.62341946	0.78182524	-0.009873701	0.22460458	-0.28167477	0.0035572818
