# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6770899	0.65973425	0.32603687	-0.24394089	-0.237688	-0.11746405
2.047e-12	0.6872145	0.6528039	0.31872135	-0.24758857	-0.23519117	-0.11482843
4.095e-12	0.7065457	0.6390158	0.30405927	-0.2545532	-0.2302236	-0.10954598
8.191e-12	0.74160933	0.6120353	0.27464247	-0.26718584	-0.22050309	-0.098947756
1.6383e-11	0.798077	0.56262976	0.21568742	-0.2875299	-0.20270337	-0.07770753
3.2767e-11	0.86321217	0.49501035	0.0991447	-0.3109967	-0.17834154	-0.035719696
5.7208804270861464e-11	0.86534333	0.49695358	-0.06494782	-0.31176454	-0.17904164	0.023399299
8.146411542493592e-11	0.7638396	0.6103185	-0.20990613	-0.27519494	-0.21988456	0.075624645
8.146411542493592e-11	0.7638396	0.6103185	-0.20990613	-0.27519494	-0.21988456	0.075624645
1.0391742051218072e-10	0.562041	0.7601882	-0.32592008	-0.20249125	-0.2738794	0.11742198
1.0391742051218072e-10	0.562041	0.7601882	-0.32592008	-0.20249125	-0.2738794	0.11742198
1.2267927851568114e-10	0.30748948	0.85881364	-0.4097431	-0.11078183	-0.30941203	0.1476216
1.4203319178129402e-10	-0.017920548	0.8744643	-0.48475885	0.0064563868	-0.3150506	0.17464817
1.5928937874439476e-10	-0.32057577	0.77620244	-0.5429005	0.11549654	-0.279649	0.19559535
1.7586867307915716e-10	-0.56923336	0.570602	-0.59193474	0.2050825	-0.2055756	0.21326132
1.9250065351174515e-10	-0.72233295	0.2733368	-0.635234	0.26024097	-0.098477356	0.2288611
2.0984755461088751e-10	-0.73339397	-0.081365034	-0.6749171	0.26422602	0.029314065	0.24315807
2.2878025955255439e-10	-0.55601436	-0.42764768	-0.712717	0.20031998	0.15407224	0.25677654
2.4982365930911325e-10	-0.1816226	-0.63721526	-0.7489793	0.0654347	0.22957492	0.26984107
2.6883304212766274e-10	0.19967741	-0.5965773	-0.7773189	-0.07193946	0.21493393	0.28005123
2.865002323972711e-10	0.4693713	-0.37278795	-0.8004497	-0.16910434	0.13430746	0.28838474
3.033754699533189e-10	0.5690906	-0.060483992	-0.82004726	-0.20503107	0.021791078	0.29544532
3.1966273478922734e-10	0.49238864	0.23892274	-0.8369405	-0.17739698	-0.08607872	0.3015316
3.354439060364108e-10	0.28222945	0.441649	-0.8516412	-0.10168117	-0.1591166	0.3068279
3.50723611854235e-10	0.013670632	0.5024659	-0.8644889	-0.0049252342	-0.18102762	0.3114567
3.6553435713784477e-10	-0.23347086	0.4224888	-0.8757824	0.084114514	-0.1522136	0.31552547
3.799119706461854e-10	-0.3973052	0.23993088	-0.8857662	0.14314048	-0.08644192	0.31912243
