# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6768954	0.65933156	0.32725307	-0.2438708	-0.23754293	-0.11790222
2.047e-12	0.6868608	0.65197945	0.32116225	-0.24746114	-0.23489413	-0.11570783
4.095e-12	0.7059799	0.63728356	0.30896947	-0.25434932	-0.22959952	-0.11131503
8.191e-12	0.7410432	0.6081785	0.2845591	-0.2669819	-0.2191136	-0.10252051
1.6383e-11	0.7991644	0.5529373	0.23578976	-0.28792167	-0.19921139	-0.08494997
3.2767e-11	0.8738982	0.46564165	0.13957013	-0.31484666	-0.16776061	-0.050284103
5.886250243726502e-11	0.9073636	0.42030874	-0.005656978	-0.32690352	-0.15142816	0.0020380872
8.505329314771383e-11	0.8573057	0.49630558	-0.13677655	-0.30886874	-0.17880821	0.04927764
1.1551406789410291e-10	0.6758605	0.68651664	-0.26815578	-0.24349798	-0.24733713	0.09661074
1.1551406789410291e-10	0.6758605	0.68651664	-0.26815578	-0.24349798	-0.24733713	0.09661074
1.3716321864165773e-10	0.44533986	0.82494026	-0.34806025	-0.16044635	-0.2972082	0.1253986
1.5958637553831216e-10	0.120649725	0.89940673	-0.42013234	-0.043467492	-0.32403684	0.15136462
1.786913994125977e-10	-0.19497249	0.8587163	-0.4739114	0.07024437	-0.30937696	0.17074007
1.9631897404677377e-10	-0.4738698	0.7120924	-0.5180462	0.17072506	-0.25655153	0.18664087
2.1329540743376968e-10	-0.6835954	0.47264594	-0.5561503	0.24628466	-0.17028412	0.20036897
2.3007146286132042e-10	-0.7902502	0.16536555	-0.5900499	0.2847101	-0.059577636	0.21258225
2.4697568030029835e-10	-0.76543605	-0.16920902	-0.62086713	0.2757701	0.060962364	0.22368503
2.6430159802000977e-10	-0.59475094	-0.47389984	-0.6493769	0.21427594	0.1707359	0.23395649
2.8240539720458297e-10	-0.28826687	-0.67794496	-0.6762343	0.10385633	0.24424893	0.24363264
3.01708926931321e-10	0.10456238	-0.7044842	-0.70197487	-0.037671566	0.25381047	0.25290638
3.22014461323023e-10	0.46648258	-0.50495195	-0.7262353	-0.16806363	0.1819233	0.2616469
3.414813283774945e-10	0.64664847	-0.15376784	-0.74712867	-0.2329735	0.055399235	0.26917434
3.5977881297166646e-10	0.6079322	0.2128894	-0.7649161	-0.21902487	-0.07669946	0.2755828
3.772064032939741e-10	0.3927248	0.4865918	-0.78038174	-0.14149028	-0.17530853	0.28115472
3.9398120802145365e-10	0.08183616	0.6023138	-0.7940535	-0.029483803	-0.21700066	0.28608033
4.1027415271697176e-10	-0.2313672	0.54436934	-0.8063072	0.08335662	-0.19612452	0.29049507
4.2617579617506993e-10	-0.46298444	0.34282047	-0.81738585	0.1668033	-0.12351082	0.29448646
4.4174299687264387e-10	-0.5581015	0.061829064	-0.827466	0.20107193	-0.022275679	0.29811817
4.5703172578775667e-10	-0.50156975	-0.21993537	-0.8366937	0.18070477	0.07923797	0.30144268
4.720571835231142e-10	-0.31817275	-0.4294838	-0.84516853	0.11463077	0.15473375	0.304496
4.868366446533616e-10	-0.06315519	-0.51811343	-0.8529771	0.022753451	0.18666512	0.30730924
