# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761859	0.65787476	0.33162245	-0.24361518	-0.2370181	-0.11947641
2.047e-12	0.6855489	0.64898354	0.32991397	-0.24698848	-0.23381478	-0.118860886
4.095e-12	0.7037777	0.63094264	0.32650948	-0.2535559	-0.22731501	-0.11763431
8.191e-12	0.73824996	0.59392464	0.31975093	-0.26597553	-0.21397823	-0.115199365
1.6383e-11	0.7993294	0.5168829	0.30643865	-0.28798112	-0.18622175	-0.11040324
3.2767e-11	0.89130414	0.3561033	0.28065562	-0.32111764	-0.12829632	-0.10111417
5.6552591482407375e-11	0.96150076	0.12390644	0.24528277	-0.346408	-0.044640817	-0.088370085
8.257979949639715e-11	0.97192574	-0.10726461	0.20941521	-0.35016388	0.038645126	-0.07544778
1.1148278230782848e-10	0.93115145	-0.3209636	0.17303008	-0.33547378	0.11563626	-0.062339
1.4417001457862783e-10	0.85257065	-0.5045829	0.13608634	-0.30716282	0.18179032	-0.049028974
1.8185984711260854e-10	0.75405735	-0.64935666	0.09865841	-0.27167058	0.2339492	-0.0355445
2.2638679863885015e-10	0.65766346	-0.75084895	0.060867246	-0.23694196	0.27051467	-0.021929156
2.8009377064449297e-10	0.59068495	-0.80656624	0.023285478	-0.21281102	0.2905884	-0.008389255
3.4355907725300374e-10	0.5831917	-0.8122483	-0.011836478	-0.21011138	0.2926355	0.004264428
4.12726956209169e-10	0.64556396	-0.7625999	-0.041094866	-0.23258276	0.2747483	0.014805594
4.814130023244947e-10	0.7513945	-0.6568355	-0.06303627	-0.27071124	0.23664367	0.022710606
5.494954753269553e-10	0.86650604	-0.49279517	-0.079500124	-0.31218344	0.17754346	0.028642181
6.215469947208503e-10	0.9619497	-0.257051	-0.09261545	-0.34656975	0.09260993	0.03336735
7.080966292581678e-10	0.9905911	0.08888216	-0.10406402	-0.3568886	-0.032022327	0.03749202
7.808425810016523e-10	0.91111916	0.39690498	-0.111033395	-0.32825658	-0.14299631	0.04000294
8.431004779058352e-10	0.75960153	0.6400373	-0.115575835	-0.27366805	-0.23059162	0.041639477
9.011838188897635e-10	0.5536372	0.8242257	-0.11890357	-0.19946355	-0.29695076	0.042838387
9.569545087383474e-10	0.3092876	0.9431818	-0.12144668	-0.11142965	-0.33980805	0.04375462
1.0111205505161895e-09	0.04485771	0.9913391	-0.12342866	-0.016161265	-0.35715806	0.044468682
1.0641509998324893e-09	-0.22090338	0.9672529	-0.12499473	0.079586715	-0.34848034	0.045032907
1.1163534097710363e-09	-0.46951404	0.873853	-0.12624414	0.16915578	-0.31483042	0.045483045
1.1679299612671277e-09	-0.68379706	0.7184913	-0.12724744	0.24635732	-0.25885692	0.04584451
1.2190073042521688e-09	-0.8489965	0.51264656	-0.12805687	0.30587512	-0.18469548	0.046136126
1.2697171791031738e-09	-0.9539489	0.27095112	-0.12871292	0.34368724	-0.09761784	0.04637249
1.3201086648553404e-09	-0.9915557	0.010630995	-0.12924583	0.3572361	-0.003830118	0.046564482
1.3702444349516943e-09	-0.9595101	-0.25004745	-0.12967978	0.3456908	0.0900867	0.04672083
1.4201954960001716e-09	-0.86025625	-0.49300152	-0.13003387	0.30993176	0.17761782	0.046848398
1.469982717734183e-09	-0.7009086	-0.70124394	-0.13032313	0.25252226	0.25264305	0.046952605
1.5196332260498376e-09	-0.49272853	-0.8603329	-0.13056001	0.17751946	0.30995935	0.047037955
1.56921021159741e-09	-0.25011626	-0.95934635	-0.13075404	0.090111494	0.34563184	0.04710786
1.6187076089664775e-09	0.009883279	-0.99134463	-0.13091305	-0.0035607324	0.3571601	0.04716514
1.6681106797066734e-09	0.26897633	-0.95419043	-0.13104343	-0.09690637	0.34377423	0.047212124
1.7174549204949248e-09	0.5092461	-0.85056925	-0.13115036	-0.1834704	0.30644175	0.04725065
1.766749436926534e-09	0.71398497	-0.6877515	-0.13123806	-0.25723338	0.24778202	0.047282245
1.8160332967942053e-09	0.869058	-0.47696528	-0.13131012	-0.31310284	0.1718403	0.0473082
1.865253880032762e-09	0.9635263	-0.23315102	-0.13136938	-0.34713775	0.08399928	0.047329556
1.914453110599391e-09	0.99096286	0.02687203	-0.13141803	-0.35702252	-0.009681413	0.04734708
1.963614476084313e-09	0.94949645	0.2849129	-0.13145803	-0.3420831	-0.102647975	0.047361493
2.01280965061155e-09	0.84190357	0.5233627	-0.13149083	-0.3033197	-0.18855628	0.04737331
2.0619745942207458e-09	0.6757586	0.72529536	-0.13151793	-0.24346125	-0.26130825	0.04738307
2.111140836100859e-09	0.46254385	0.8767841	-0.13154027	-0.16664457	-0.31588638	0.047391124
2.160309999190626e-09	0.21707721	0.9672486	-0.1315585	-0.07820824	-0.34847882	0.047397684
2.209448547073214e-09	-0.04337554	0.9903571	-0.13157347	0.015627269	-0.3568043	0.047403082
2.2586000395473314e-09	-0.3009009	0.9445337	-0.13158584	0.10840809	-0.34029514	0.047407538
2.307715896098595e-09	-0.5373344	0.83303916	-0.13159598	0.19358999	-0.30012608	0.047411192
2.3568389343558805e-09	-0.7364414	0.6635771	-0.1316045	0.26532394	-0.2390725	0.047414258
2.4059872028911966e-09	-0.88438463	0.44781956	-0.13161124	0.3186247	-0.16133973	0.04741669
2.455083000074577e-09	-0.9706808	0.20113674	-0.13161674	0.34971535	-0.072465226	0.047418673
2.504180713561504e-09	-0.98951006	-0.059545618	-0.13162139	0.35649914	0.021453	0.04742035
2.5533020047163246e-09	-0.93951184	-0.31621552	-0.1316252	0.33848584	0.113925636	0.047421724
2.602415053035619e-09	-0.8241588	-0.55085063	-0.1316284	0.29692662	0.1984596	0.04742287
2.6515095708415256e-09	-0.65154326	-0.74710417	-0.13163105	0.234737	0.26916552	0.047423825
2.7006236245361875e-09	-0.43353724	-0.8914697	-0.1316331	0.15619412	0.3211773	0.047424566
2.7497288644468374e-09	-0.1854114	-0.9738045	-0.1316347	0.06679972	0.35084075	0.047425143
2.7988179078388757e-09	0.07552656	-0.98841673	-0.13163613	-0.02721059	0.3561052	0.047425658
2.8479005433059613e-09	0.3311851	-0.9343384	-0.13163728	-0.11931885	0.33662194	0.047426067
2.896996098057155e-09	0.56388795	-0.81529254	-0.13163824	-0.20315665	0.2937323	0.047426417
2.946099364908898e-09	0.7574129	-0.6395287	-0.13163921	-0.27287954	0.23040837	0.047426768
2.9951978274557444e-09	0.89824957	-0.41930753	-0.1316398	-0.3236199	0.15106744	0.04742698
3.0442888904148822e-09	0.97661775	-0.16996665	-0.13164036	-0.35185426	0.06123532	0.047427185
3.093372321365819e-09	0.987098	0.09115011	-0.13164079	-0.3556301	-0.032839417	0.047427338
3.142490700300447e-09	0.92891335	0.34610796	-0.13164118	-0.33466738	-0.124695234	0.047427475
3.19158842015069e-09	0.80614483	0.57688916	-0.13164157	-0.2904366	-0.20784071	0.047427617
3.2406794186364113e-09	0.6273467	0.7675329	-0.1316417	-0.22601947	-0.27652556	0.04742766
3.2897886327148373e-09	0.40484735	0.9048586	-0.13164185	-0.14585775	-0.326001	0.04742772
